Name,University_Name_Clean,State,State_Code,Type,Degree_Length,Room_And_Board,In_State_Tuition,In_State_Total,Out_Of_State_Tuition,Out_Of_State_Total
Norfolk State University,Norfolk State University,Virginia,VA,Public,4 Year,10360,9490,19850,21418,31778
Normandale Community College,Normandale Community College,Minnesota,MN,Public,2 Year,,5789,5789,5789,5789
North Arkansas College,North Arkansas College,Arkansas,AR,Public,2 Year,,2850,2850,5790,5790
North Carolina Agricultural and Technical State University,North Carolina A & T State University,North Carolina,NC,Public,4 Year,7624,6612,14236,19822,27446
North Carolina Central University,North Carolina Central University,North Carolina,NC,Public,4 Year,8909,6348,15257,19055,27964
North Carolina State University,North Carolina State University Raleigh,North Carolina,NC,Public,4 Year,11078,9101,20179,28444,39522
North Carolina Wesleyan College,North Carolina Wesleyan College,North Carolina,NC,Private,4 Year,10800,31000,41800,31000,41800
North Central College,North Central College,Illinois,IL,Private,4 Year,11019,38880,49899,38880,49899
North Central Kansas Technical College,North Central Kansas Technical College,Kansas,KS,Public,2 Year,5815,3930,9745,3930,9745
North Central Michigan College,North Central Michigan College,Michigan,MI,Public,2 Year,6300,3570,9870,7710,14010
North Central Missouri College,North Central Missouri College,Missouri,MO,Public,2 Year,6055,3510,9565,6210,12265
North Central State College,North Central State College,Ohio,OH,Public,2 Year,,4998,4998,9020,9020
North Central Texas College,North Central Texas College,Texas,TX,Public,2 Year,3970,2730,6700,7980,11950
North Central University,North Central University,Minnesota,MN,Private,4 Year,7400,24240,31640,24240,31640
North Country Community College,North Country Community College,New York,NY,Public,2 Year,10350,6008,16358,12638,22988
North Dakota State College of Science,North Dakota State College Science,North Dakota,ND,Public,2 Year,6220,5132,11352,12402,18622
North Dakota State University,North Dakota State University,North Dakota,ND,Public,4 Year,8565,9294,17859,13273,21838
North Florida Community College,North Florida Community College,Florida,FL,Public,2 Year,,3179,3179,12095,12095
North Georgia Technical College,North Georgia Technical College,Georgia,GA,Public,2 Year,4000,3268,7268,5938,9938
North Greenville University,North Greenville University,South Carolina,SC,Private,4 Year,10240,19750,29990,19750,29990
North Hennepin Community College,North Hennepin Community College,Minnesota,MN,Public,2 Year,,5542,5542,5542,5542
North Idaho College,North Idaho College,Idaho,ID,Public,2 Year,7500,4245,11745,10815,18315
North Iowa Area Community College,North Iowa Area Community College,Iowa,IA,Public,2 Year,7128,5408,12536,7721,14849
North Lake College,North Lake College,Texas,TX,Public,2 Year,,1770,1770,5220,5220
North Park University,North Park University,Illinois,IL,Private,4 Year,9866,29190,39056,29190,39056
North Seattle College,North Seattle College,Washington,WA,Public,2 Year,,4027,4027,4462,4462
North Shore Community College,North Shore Community College,Massachusetts,MA,Public,2 Year,,6450,6450,13410,13410
Northampton Community College,Northampton Community College,Pennsylvania,PA,Public,2 Year,9094,4380,13474,14100,23194
Northcentral Technical College,Northcentral Technical College,Wisconsin,WI,Public,2 Year,,4026,4026,6039,6039
Northcentral University,Northcentral University,California,CA,For Profit,4 Year,,11064,11064,11064,11064
Northeast Alabama Community College,Northeast Alabama Community College,Alabama,AL,Public,2 Year,,4740,4740,8610,8610
Northeast Community College,Northeast Community College,Nebraska,NE,Public,2 Year,8605,3480,12085,4635,13240
Northeast Iowa Community College,Northeast Iowa Community College,Iowa,IA,Public,2 Year,,5432,5432,5992,5992
Northeast Mississippi Community College,Northeast Mississippi Community College,Mississippi,MS,Public,2 Year,4480,3816,8296,6656,11136
Northeast State Community College,Northeast State Community College,Tennessee,TN,Public,2 Year,,4451,4451,17357,17357
Northeast Texas Community College,Northeast Texas Community College,Texas,TX,Public,2 Year,6300,2849,9149,6149,12449
Northeast Wisconsin Technical College,Northeast Wisconsin Technical College,Wisconsin,WI,Public,2 Year,,4473,4473,6486,6486
Northeastern Illinois University,Northeastern Illinois University,Illinois,IL,Public,4 Year,11424,14022,25446,25907,37331
Northeastern Junior College,Northeastern Junior College,Colorado,CO,Public,2 Year,7080,5072,12152,7910,14990
Northeastern Oklahoma Agricultural and Mechanical College,Northeastern Oklahoma Agricultural and Mechanical College,Oklahoma,OK,Public,2 Year,5698,4673,10371,10673,16371
Northeastern State University,Northeastern State University,Oklahoma,OK,Public,4 Year,7638,6650,14288,14720,22358
Northeastern Technical College,Northeastern Technical College,South Carolina,SC,Public,2 Year,,5490,5490,8940,8940
Northeastern University,Northeastern University,Massachusetts,MA,Private,4 Year,16880,51387,68267,51387,68267
Northern Arizona University,Northern Arizona University,Arizona,AZ,Public,4 Year,10282,11564,21846,25828,36110
Northern Essex Community College,Northern Essex Community College,Massachusetts,MA,Public,2 Year,,6420,6420,13650,13650
Northern Illinois University,Northern Illinois University,Illinois,IL,Public,4 Year,10880,12262,23142,12262,23142
Northern Kentucky University,Northern Kentucky University,Kentucky,KY,Public,4 Year,10022,10032,20054,19680,29702
Northern Maine Community College,Northern Maine Community College,Maine,ME,Public,2 Year,7818,3820,11638,6640,14458
Northern Michigan University,Northern Michigan University,Michigan,MI,Public,4 Year,10666,10988,21654,16484,27150
Northern New Mexico College,Northern New Mexico College,New Mexico,NM,Public,4 Year,,4765,4765,4765,4765
Northern Oklahoma College,Northern Oklahoma College,Oklahoma,OK,Public,2 Year,7080,4170,11250,10755,17835
Northern State University,Northern State University,South Dakota,SD,Public,4 Year,8029,8498,16527,11471,19500
Northern Vermont University,Northern Vermont University,Vermont,VT,Public,4 Year,10598,12434,23032,25754,36352
Northern Virginia Community College,Northern Virginia Community College,Virginia,VA,Public,2 Year,,5610,5610,11618,11618
Northland College,Northland College,Wisconsin,WI,Private,4 Year,9176,36183,45359,36183,45359
Northland Community & Technical College,Northland Community & Technical College,Minnesota,MN,Public,2 Year,4500,5549,10049,5549,10049
Northland Pioneer College,Northland Pioneer College,Arizona,AZ,Public,2 Year,,2310,2310,10740,10740
Northpoint Bible College,Northpoint Bible College,Massachusetts,MA,Private,4 Year,9500,12580,22080,12580,22080
Northwest Arkansas Community College,Northwest Arkansas Community College,Arkansas,AR,Public,2 Year,,3208,3208,4708,4708
Northwest Christian University,Northwest Christian University,Oregon,OR,Private,4 Year,9300,30050,39350,30050,39350
Northwest College,Northwest College,Wyoming,WY,Public,2 Year,6090,3420,9510,7932,14022
Northwest College of Art & Design,Northwest College Art & Design,Washington,WA,For Profit,4 Year,,20600,20600,20600,20600
Northwest Florida State College,Northwest Florida State College,Florida,FL,Public,2 Year,,3324,3324,11634,11634
Northwest Indian College,Northwest Indian College,Washington,WA,Public,2 Year,4950,5445,10395,14310,19260
Northwest Iowa Community College,Northwest Iowa Community College,Iowa,IA,Public,2 Year,,5070,5070,5370,5370
Northwest Kansas Technical College,Northwest Kansas Technical College,Kansas,KS,Public,2 Year,4850,8300,13150,8300,13150
Northwest Mississippi Community College,Northwest Mississippi Community College,Mississippi,MS,Public,2 Year,3550,3000,6550,5400,8950
Northwest Missouri State University,Northwest Missouri State University,Missouri,MO,Public,4 Year,10016,9805,19821,16457,26473
Northwest Nazarene University,Northwest Nazarene University,Idaho,ID,Private,4 Year,7400,29300,36700,29300,36700
Northwest School of Wooden Boatbuilding,Northwest School Wooden Boatbuilding,Washington,WA,Private,4 Year,,19500,19500,19500,19500
Northwest State Community College,Northwest State Community College,Ohio,OH,Public,2 Year,,5102,5102,9942,9942
Northwest Technical College,Northwest Technical College,Minnesota,MN,Public,2 Year,,5488,5488,5488,5488
Northwest University,Northwest University,Washington,WA,Private,4 Year,8630,31540,40170,31540,40170
Northwest Vista College,Northwest Vista College,Texas,TX,Public,2 Year,,2720,2720,13730,13730
Northwest-Shoals Community College,Northwest Shoals Community College,Alabama,AL,Public,2 Year,,4695,4695,8565,8565
Northwestern College,Northwestern College,Iowa,IA,Private,4 Year,9200,31100,40300,31100,40300
Northwestern Connecticut Community College,Northwestern Connecticut Community College,Connecticut,CT,Public,2 Year,,4404,4404,13172,13172
Northwestern Health Sciences University,Northwestern Health Sciences University,Minnesota,MN,Private,4 Year,,13380,13380,13380,13380
Northwestern Michigan College,Northwestern Michigan College,Michigan,MI,Public,2 Year,8750,4174,12924,9611,18361
Northwestern Oklahoma State University,Northwestern Oklahoma State University,Oklahoma,OK,Public,4 Year,4780,7036,11816,14153,18933
Northwestern Polytechnic University,Northwestern Polytechnic University,California,CA,Private,4 Year,6000,10700,16700,10700,16700
Northwestern State University,Northwestern State University Louisiana,Louisiana,LA,Public,4 Year,8884,8580,17464,19368,28252
Northwestern University,Northwestern University,Illinois,IL,Private,4 Year,16626,54567,71193,54567,71193
Northwood University: Michigan,Northwood University,Michigan,MI,Private,4 Year,10480,27060,37540,27060,37540
Norwalk Community College,Norwalk Community College,Connecticut,CT,Public,2 Year,,4399,4399,13167,13167
Norwich University,Norwich University,Vermont,VT,Private,4 Year,13840,40016,53856,40016,53856
Nossi College of Art,Nossi College Art,Tennessee,TN,For Profit,2 Year,,17700,17700,17700,17700
Notre Dame College,Notre Dame College,Ohio,OH,Private,4 Year,9980,30160,40140,30160,40140
Notre Dame de Namur University,Notre Dame de Namur University,California,CA,Private,4 Year,14494,35350,49844,35350,49844
Notre Dame of Maryland University,Notre Dame Maryland University,Maryland,MD,Private,4 Year,11850,36900,48750,36900,48750
Nova Southeastern University,Nova Southeastern University,Florida,FL,Private,4 Year,13250,30900,44150,30900,44150
Nueta Hidatsa Sahnish College,Nueta Hidatsa Sahnish College,North Dakota,ND,Public,2 Year,,3870,3870,3870,3870
Nunez Community College,Nunez Community College,Louisiana,LA,Public,2 Year,,4175,4175,7674,7674
Nyack College,Nyack College,New York,NY,Private,4 Year,9450,25350,34800,25350,34800
O'More College of Design,O'More College Design,Tennessee,TN,Private,4 Year,,29880,29880,29880,29880
Oak Hills Christian College,Oak Hills Christian College,Minnesota,MN,Private,4 Year,6984,17314,24298,17314,24298
Oakland City University,Oakland City University,Indiana,IN,Private,4 Year,9900,24000,33900,24000,33900
Oakland Community College,Oakland Community College,Michigan,MI,Public,2 Year,,2960,2960,5540,5540
Oakland University,Oakland University,Michigan,MI,Public,4 Year,10100,12606,22706,24230,34330
Oakton Community College,Oakton Community College,Illinois,IL,Public,2 Year,,4292,4292,13375,13375
Oakwood University,Oakwood University,Alabama,AL,Private,4 Year,9312,16720,26032,16720,26032
Oberlin College,Oberlin College,Ohio,OH,Private,4 Year,16338,55054,71392,55054,71392
Occidental College,Occidental College,California,CA,Private,4 Year,15496,54686,70182,54686,70182
Ocean County College,Ocean County College,New Jersey,NJ,Public,2 Year,,4515,4515,7695,7695
Odessa College,Odessa College,Texas,TX,Public,2 Year,5412,2794,8206,5450,10862
Oglala Lakota College,Oglala Lakota College,South Dakota,SD,Public,4 Year,,3560,3560,3560,3560
Oglethorpe University,Oglethorpe University,Georgia,GA,Private,4 Year,13200,38100,51300,38100,51300
Ohio Christian University,Ohio Christian University,Ohio,OH,Private,4 Year,8076,23306,31382,23306,31382
Ohio Dominican University,Ohio Dominican University,Ohio,OH,Private,4 Year,10948,31080,42028,31080,42028
Ohio Northern University,Ohio Northern University,Ohio,OH,Private,4 Year,11650,32260,43910,32260,43910
Ohio State University Agricultural Technical Institute,Ohio State University Agricultural Technical Institute,Ohio,OH,Public,2 Year,8696,7658,16354,27674,36370
Ohio State University: Columbus Campus,Ohio State University,Ohio,OH,Public,4 Year,12434,10726,23160,30742,43176
Ohio State University: Lima Campus,Ohio State University Lima,Ohio,OH,Public,4 Year,,7644,7644,27660,27660
Ohio State University: Mansfield Campus,Ohio State University Mansfield,Ohio,OH,Public,4 Year,8094,7644,15738,27660,35754
Ohio State University: Marion Campus,Ohio State University Marion,Ohio,OH,Public,4 Year,,7644,7644,27660,27660
Ohio State University: Newark Campus,Ohio State University Newark,Ohio,OH,Public,4 Year,9268,7644,16912,27660,36928
Ohio Technical College,Ohio Technical College,Ohio,OH,For Profit,2 Year,,28544,28544,28544,28544
Ohio University,Ohio University,Ohio,OH,Public,4 Year,11830,12192,24022,21656,33486
Ohio University: Chillicothe Campus,Ohio University Chillico,Ohio,OH,Public,4 Year,,5060,5060,9596,9596
Ohio University: Eastern Campus,Ohio University Eastern,Ohio,OH,Public,4 Year,,4830,4830,6742,6742
Ohio University: Lancaster Campus,Ohio University Lancaster,Ohio,OH,Public,4 Year,,5490,5490,8482,8482
Ohio University: Southern Campus at Ironton,Ohio University Southern Ironton,Ohio,OH,Public,4 Year,,4872,4872,6718,6718
Ohio University: Zanesville Campus,Ohio University Zanesville,Ohio,OH,Public,4 Year,,5490,5490,8482,8482
Ohio Valley University,Ohio Valley University,West Virginia,WV,Private,4 Year,7980,21900,29880,21900,29880
Ohio Wesleyan University,Ohio Wesleyan University,Ohio,OH,Private,4 Year,12430,45760,58190,45760,58190
Ohlone College,Ohlone College,California,CA,Public,2 Year,,1419,1419,8409,8409
Ohr Somayach Tanenbaum Education Center,Ohr Somayach Tanenbaum Education Center,New York,NY,Private,4 Year,9000,9000,18000,9000,18000
Oklahoma Baptist University,Oklahoma Baptist University,Oklahoma,OK,Private,4 Year,7350,28258,35608,28258,35608
Oklahoma Christian University,Oklahoma Christian University,Oklahoma,OK,Private,4 Year,8190,22760,30950,22760,30950
Oklahoma City Community College,Oklahoma City Community College,Oklahoma,OK,Public,2 Year,,4059,4059,9810,9810
Oklahoma City University,Oklahoma City University,Oklahoma,OK,Private,4 Year,8896,31026,39922,31026,39922
